id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
4212,2020,宮城県 登米市,2,38874,5877,160
4213,2020,宮城県 栗原市,2,33503,4504,111
4214,2020,宮城県 東松島市,2,20009,3778,NA
4215,2020,宮城県 大崎市,2,64901,11692,308
4216,2020,宮城県 富谷市,2,26560,5051,99
4301,2020,宮城県 刈田郡 蔵王町,2,5849,877,8
4302,2020,宮城県 刈田郡 七ヶ宿町,2,642,76,NA
4321,2020,宮城県 柴田郡 大河原町,2,12041,2374,83
4322,2020,宮城県 柴田郡 村田町,2,5373,847,32
4323,2020,宮城県 柴田郡 柴田町,2,18929,3656,224
4324,2020,宮城県 柴田郡 川崎町,2,4245,695,7
4341,2020,宮城県 伊具郡 丸森町,2,6145,769,7
4361,2020,宮城県 亘理郡 亘理町,2,16875,2965,54
4362,2020,宮城県 亘理郡 山元町,2,6068,857,6
4401,2020,宮城県 宮城郡 松島町,2,6909,991,NA
4404,2020,宮城県 宮城郡 七ヶ浜町,2,9108,1490,13
4406,2020,宮城県 宮城郡 利府町,2,18020,3554,104
4421,2020,宮城県 黒川郡 大和町,2,13807,3161,196
4422,2020,宮城県 黒川郡 大郷町,2,3999,646,3
4424,2020,宮城県 黒川郡 大衡村,2,2911,554,NA
4444,2020,宮城県 加美郡 色麻町,2,3452,553,4
4445,2020,宮城県 加美郡 加美町,2,11176,1653,4
4501,2020,宮城県 遠田郡 涌谷町,2,7868,1156,12
4505,2020,宮城県 遠田郡 美里町,2,12378,1920,18
4581,2020,宮城県 牡鹿郡 女川町,2,3079,557,NA
4606,2020,宮城県 本吉郡 南三陸町,2,6245,818,1
5201,2020,秋田県 秋田市,2,162261,28004,2423
5202,2020,秋田県 能代市,2,27036,3207,9
5203,2020,秋田県 横手市,2,45229,6110,77
5204,2020,秋田県 大館市,2,36686,4998,193
5206,2020,秋田県 男鹿市,2,13294,1374,62
5207,2020,秋田県 湯沢市,2,21976,2639,30
5209,2020,秋田県 鹿角市,2,15404,1784,37
5210,2020,秋田県 由利本荘市,2,38865,5446,253
5211,2020,秋田県 潟上市,2,16753,2496,45
5212,2020,秋田県 大仙市,2,41370,5722,243
5213,2020,秋田県 北秋田市,2,16041,1674,19
5214,2020,秋田県 にかほ市,2,12217,1435,1
5215,2020,秋田県 仙北市,2,13202,1546,46
5303,2020,秋田県 鹿角郡 小坂町,2,2548,254,NA
5327,2020,秋田県 北秋田郡 上小阿仁村,2,1077,75,NA
5346,2020,秋田県 山本郡 藤里町,2,1516,137,NA
5348,2020,秋田県 山本郡 三種町,2,8220,857,NA
5349,2020,秋田県 山本郡 八峰町,2,3506,341,NA
5361,2020,秋田県 南秋田郡 五城目町,2,4553,471,2
5363,2020,秋田県 南秋田郡 八郎潟町,2,3049,340,3
5366,2020,秋田県 南秋田郡 井川町,2,2436,249,13
5368,2020,秋田県 南秋田郡 大潟村,2,1511,228,8
5434,2020,秋田県 仙北郡 美郷町,2,9912,1268,NA
5463,2020,秋田県 雄勝郡 羽後町,2,7188,937,8
5464,2020,秋田県 雄勝郡 東成瀬村,2,1213,136,NA
6201,2020,山形県 山形市,2,128589,24606,2256
6202,2020,山形県 米沢市,2,40994,7086,186
