id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
28217,2020,兵庫県 川西市,1,71289,12477,55
28218,2020,兵庫県 小野市,1,23232,4676,151
28219,2020,兵庫県 三田市,1,52322,10615,286
28220,2020,兵庫県 加西市,1,21077,4144,169
28221,2020,兵庫県 丹波篠山市,1,18811,3124,454
28222,2020,兵庫県 養父市,1,10623,1574,35
28223,2020,兵庫県 丹波市,1,29464,5368,175
28224,2020,兵庫県 南あわじ市,1,21114,3319,327
28225,2020,兵庫県 朝来市,1,13893,2202,267
28226,2020,兵庫県 淡路市,1,19872,3216,147
28227,2020,兵庫県 宍粟市,1,16635,2711,31
28228,2020,兵庫県 加東市,1,19956,4548,478
28229,2020,兵庫県 たつの市,1,35918,6683,1156
28301,2020,兵庫県 川辺郡 猪名川町,1,13975,1982,5
28365,2020,兵庫県 多可郡 多可町,1,9311,1480,102
28381,2020,兵庫県 加古郡 稲美町,1,14775,2753,79
28382,2020,兵庫県 加古郡 播磨町,1,16332,3538,181
28442,2020,兵庫県 神崎郡 市川町,1,5482,919,16
28443,2020,兵庫県 神崎郡 福崎町,1,9461,1802,633
28446,2020,兵庫県 神崎郡 神河町,1,4958,799,9
28464,2020,兵庫県 揖保郡 太子町,1,16253,3028,213
28481,2020,兵庫県 赤穂郡 上郡町,1,6717,1040,156
28501,2020,兵庫県 佐用郡 佐用町,1,7567,1073,12
28585,2020,兵庫県 美方郡 香美町,1,7636,1035,2
28586,2020,兵庫県 美方郡 新温泉町,1,6302,952,7
29201,2020,奈良県 奈良市,1,164846,30679,4054
29202,2020,奈良県 大和高田市,1,28981,5776,207
29203,2020,奈良県 大和郡山市,1,39249,7277,596
29204,2020,奈良県 天理市,1,31275,7040,487
29205,2020,奈良県 橿原市,1,57336,11916,1316
29206,2020,奈良県 桜井市,1,25909,5038,167
29207,2020,奈良県 五條市,1,13180,1960,1152
29208,2020,奈良県 御所市,1,11122,1821,29
29209,2020,奈良県 生駒市,1,55107,9715,451
29210,2020,奈良県 香芝市,1,36925,7366,391
29211,2020,奈良県 葛城市,1,17526,3549,53
29212,2020,奈良県 宇陀市,1,13374,1988,38
29322,2020,奈良県 山辺郡 山添村,1,1543,194,5
29342,2020,奈良県 生駒郡 平群町,1,8446,1244,26
29343,2020,奈良県 生駒郡 三郷町,1,10877,2081,71
29344,2020,奈良県 生駒郡 斑鳩町,1,12979,2460,58
29345,2020,奈良県 生駒郡 安堵町,1,3387,684,37
29361,2020,奈良県 磯城郡 川西町,1,3944,692,16
29362,2020,奈良県 磯城郡 三宅町,1,3049,566,1
29363,2020,奈良県 磯城郡 田原本町,1,14870,2955,162
29385,2020,奈良県 宇陀郡 曽爾村,1,595,61,NA
29386,2020,奈良県 宇陀郡 御杖村,1,694,79,2
29401,2020,奈良県 高市郡 高取町,1,3139,450,13
29402,2020,奈良県 高市郡 明日香村,1,2439,393,2
29424,2020,奈良県 北葛城郡 上牧町,1,10117,1719,NA
29425,2020,奈良県 北葛城郡 王寺町,1,11375,2414,165
29426,2020,奈良県 北葛城郡 広陵町,1,16045,3106,59
29427,2020,奈良県 北葛城郡 河合町,1,7918,1160,55
29441,2020,奈良県 吉野郡 吉野町,1,2840,336,NA
29442,2020,奈良県 吉野郡 大淀町,1,7936,1404,10
29443,2020,奈良県 吉野郡 下市町,1,2356,340,NA
29444,2020,奈良県 吉野郡 黒滝村,1,296,43,NA
29446,2020,奈良県 吉野郡 天川村,1,567,69,NA
29447,2020,奈良県 吉野郡 野迫川村,1,176,33,NA
29449,2020,奈良県 吉野郡 十津川村,1,1663,246,NA
