id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
1394,1980,北海道 後志総合振興局 蘭越町,4162,977,NA
1395,1980,北海道 後志総合振興局 ニセコ町,2366,538,NA
1396,1980,北海道 後志総合振興局 真狩村,1578,403,NA
1397,1980,北海道 後志総合振興局 留寿都村,1055,256,NA
1398,1980,北海道 後志総合振興局 喜茂別町,2139,561,NA
1399,1980,北海道 後志総合振興局 京極町,2181,534,NA
1400,1980,北海道 後志総合振興局 倶知安町,9441,3080,NA
1401,1980,北海道 後志総合振興局 共和町,4064,980,NA
1402,1980,北海道 後志総合振興局 岩内町,11895,3218,NA
1403,1980,北海道 後志総合振興局 泊村,1510,270,NA
1404,1980,北海道 後志総合振興局 神恵内村,987,193,NA
1405,1980,北海道 後志総合振興局 積丹町,2601,585,NA
1406,1980,北海道 後志総合振興局 古平町,3121,735,NA
1407,1980,北海道 後志総合振興局 仁木町,2772,701,NA
1408,1980,北海道 後志総合振興局 余市町,13886,3797,NA
1409,1980,北海道 後志総合振興局 赤井川村,753,175,NA
1423,1980,北海道 空知総合振興局 南幌町,2784,695,NA
1424,1980,北海道 空知総合振興局 奈井江町,4519,1217,NA
1425,1980,北海道 空知総合振興局 上砂川町,5496,1239,NA
1427,1980,北海道 空知総合振興局 由仁町,4684,1142,NA
1428,1980,北海道 空知総合振興局 長沼町,6746,1787,NA
1429,1980,北海道 空知総合振興局 栗山町,9084,2438,NA
1430,1980,北海道 空知総合振興局 月形町,2751,709,NA
1431,1980,北海道 空知総合振興局 浦臼町,1879,425,NA
1432,1980,北海道 空知総合振興局 新十津川町,4901,1234,NA
1433,1980,北海道 空知総合振興局 妹背牛町,3174,803,NA
1434,1980,北海道 空知総合振興局 秩父別町,2152,524,NA
1436,1980,北海道 空知総合振興局 雨竜町,2159,484,NA
1437,1980,北海道 空知総合振興局 北竜町,1823,466,NA
1438,1980,北海道 空知総合振興局 沼田町,3202,811,NA
1452,1980,北海道 上川総合振興局 鷹栖町,3825,1011,NA
1453,1980,北海道 上川総合振興局 東神楽町,2762,780,NA
1454,1980,北海道 上川総合振興局 当麻町,4934,1249,NA
1455,1980,北海道 上川総合振興局 比布町,2985,780,NA
1456,1980,北海道 上川総合振興局 愛別町,2969,741,NA
1457,1980,北海道 上川総合振興局 上川町,4789,1280,NA
1458,1980,北海道 上川総合振興局 東川町,4010,1080,NA
1459,1980,北海道 上川総合振興局 美瑛町,7661,2005,NA
1460,1980,北海道 上川総合振興局 上富良野町,6930,2101,NA
1461,1980,北海道 上川総合振興局 中富良野町,3616,932,NA
1462,1980,北海道 上川総合振興局 南富良野町,2264,545,NA
1463,1980,北海道 上川総合振興局 占冠村,751,184,NA
1464,1980,北海道 上川総合振興局 和寒町,3417,856,NA
1465,1980,北海道 上川総合振興局 剣淵町,2832,705,NA
1468,1980,北海道 上川総合振興局 下川町,3733,926,NA
1469,1980,北海道 上川総合振興局 美深町,4344,1095,NA
1470,1980,北海道 上川総合振興局 音威子府村,1007,291,NA
1471,1980,北海道 上川総合振興局 中川町,1730,454,NA
1472,1980,北海道 上川総合振興局 幌加内町,1845,442,NA
1481,1980,北海道 留萌振興局 増毛町,4424,993,NA
1482,1980,北海道 留萌振興局 小平町,3344,780,NA
1483,1980,北海道 留萌振興局 苫前町,3330,741,NA
1484,1980,北海道 留萌振興局 羽幌町,6824,1847,NA
1485,1980,北海道 留萌振興局 初山別村,1270,284,NA
1486,1980,北海道 留萌振興局 遠別町,2718,664,NA
1487,1980,北海道 留萌振興局 天塩町,3021,778,NA
1511,1980,北海道 宗谷総合振興局 猿払村,1655,452,NA
1512,1980,北海道 宗谷総合振興局 浜頓別町,3293,1007,NA
1513,1980,北海道 宗谷総合振興局 中頓別町,2137,576,NA
1514,1980,北海道 宗谷総合振興局 枝幸町,6875,1960,NA
1516,1980,北海道 宗谷総合振興局 豊富町,3385,951,NA
