id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1452,北海道 上川総合振興局 鷹栖町,0,7509,1913,NA,6567,819,NA,-12.544946064722328,-57.187663355985364
1453,北海道 上川総合振興局 東神楽町,0,5425,1499,NA,10127,1611,15,86.67281105990783,7.471647765176792
1454,北海道 上川総合振興局 当麻町,0,9619,2376,NA,6319,843,NA,-34.30710053020064,-64.52020202020202
1455,北海道 上川総合振興局 比布町,0,5806,1465,NA,3520,478,NA,-39.37306234929383,-67.37201365187713
1456,北海道 上川総合振興局 愛別町,0,5815,1392,NA,2605,325,NA,-55.20206362854686,-76.65229885057472
1457,北海道 上川総合振興局 上川町,0,9302,2437,NA,3500,546,NA,-62.37368307890776,-77.59540418547395
1458,北海道 上川総合振興局 東川町,0,7774,2050,NA,8314,1419,1,6.946231026498584,-30.780487804878053
1459,北海道 上川総合振興局 美瑛町,0,14826,3727,NA,9668,1456,NA,-34.79023337380278,-60.933726858062784
1460,北海道 上川総合振興局 上富良野町,0,14441,4581,NA,10348,2069,98,-28.342912540682775,-54.835188823401005
1461,北海道 上川総合振興局 中富良野町,0,7039,1763,NA,4733,663,2,-32.760335274897,-62.39364719228588
1462,北海道 上川総合振興局 南富良野町,0,4530,1080,NA,2376,454,5,-47.54966887417219,-57.96296296296296
1463,北海道 上川総合振興局 占冠村,0,1601,374,NA,1306,373,54,-18.42598376014991,-0.2673796791443861
1464,北海道 上川総合振興局 和寒町,0,6696,1561,NA,3192,412,NA,-52.32974910394266,-73.60666239590006
1465,北海道 上川総合振興局 剣淵町,0,5481,1357,NA,2926,382,NA,-46.61558109833972,-71.84966838614591
1468,北海道 上川総合振興局 下川町,0,7173,1648,NA,3126,409,39,-56.41990798828942,-75.18203883495146
1469,北海道 上川総合振興局 美深町,0,8350,2035,NA,4145,562,2,-50.359281437125745,-72.38329238329239
1470,北海道 上川総合振興局 音威子府村,0,2100,624,NA,706,124,22,-66.38095238095238,-80.12820512820514
1471,北海道 上川総合振興局 中川町,0,3559,903,NA,1528,231,25,-57.066591739252594,-74.4186046511628
1472,北海道 上川総合振興局 幌加内町,0,3740,880,NA,1370,192,NA,-63.36898395721925,-78.18181818181819
1481,北海道 留萌振興局 増毛町,0,8319,1796,NA,3908,552,NA,-53.023199903834595,-69.26503340757239
1482,北海道 留萌振興局 小平町,0,6474,1444,NA,2994,457,1,-53.75347544022242,-68.35180055401662
1483,北海道 留萌振興局 苫前町,0,6528,1407,NA,2936,432,2,-55.024509803921575,-69.29637526652452
1484,北海道 留萌振興局 羽幌町,0,13254,3425,NA,6548,867,1,-50.596046476535385,-74.6861313868613
1485,北海道 留萌振興局 初山別村,0,2444,548,NA,1080,168,NA,-55.810147299509,-69.34306569343065
1486,北海道 留萌振興局 遠別町,0,5375,1286,NA,2520,352,NA,-53.11627906976744,-72.62830482115086
