id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1434,北海道 空知総合振興局 秩父別町,1,2011,472,NA,1072,179,13,-46.69318746892094,-62.07627118644068
1436,北海道 空知総合振興局 雨竜町,1,1988,432,NA,1165,164,NA,-41.398390342052316,-62.03703703703704
1437,北海道 空知総合振興局 北竜町,1,1746,396,NA,823,126,NA,-52.863688430698744,-68.18181818181819
1438,北海道 空知総合振興局 沼田町,1,3005,690,NA,1392,211,NA,-53.67720465890182,-69.42028985507247
1452,北海道 上川総合振興局 鷹栖町,1,3684,902,NA,3105,395,NA,-15.716612377850158,-56.20842572062084
1453,北海道 上川総合振興局 東神楽町,1,2663,719,NA,4702,762,11,76.56778069846038,5.980528511821981
1454,北海道 上川総合振興局 当麻町,1,4685,1127,NA,2912,426,NA,-37.84418356456777,-62.20053238686779
1455,北海道 上川総合振興局 比布町,1,2821,685,NA,1662,256,NA,-41.08472172988302,-62.62773722627737
1456,北海道 上川総合振興局 愛別町,1,2846,651,NA,1215,152,NA,-57.30850316233309,-76.65130568356375
1457,北海道 上川総合振興局 上川町,1,4513,1157,NA,1708,307,NA,-62.15377797473964,-73.46585998271391
1458,北海道 上川総合振興局 東川町,1,3764,970,NA,3877,654,NA,3.002125398512212,-32.577319587628864
1459,北海道 上川総合振興局 美瑛町,1,7165,1722,NA,4495,735,NA,-37.264480111653874,-57.31707317073172
1460,北海道 上川総合振興局 上富良野町,1,7511,2480,NA,5363,1277,65,-28.598056184263076,-48.50806451612903
1461,北海道 上川総合振興局 中富良野町,1,3423,831,NA,2260,325,2,-33.97604440549225,-60.890493381468104
1462,北海道 上川総合振興局 南富良野町,1,2266,535,NA,1228,257,5,-45.80759046778464,-51.96261682242991
1463,北海道 上川総合振興局 占冠村,1,850,190,NA,653,185,33,-23.176470588235297,-2.631578947368418
1464,北海道 上川総合振興局 和寒町,1,3279,705,NA,1497,227,NA,-54.34583714547119,-67.80141843971631
1465,北海道 上川総合振興局 剣淵町,1,2649,652,NA,1425,202,NA,-46.20611551528879,-69.01840490797547
1468,北海道 上川総合振興局 下川町,1,3440,722,NA,1491,210,19,-56.65697674418604,-70.91412742382272
1469,北海道 上川総合振興局 美深町,1,4006,940,NA,2038,316,2,-49.1263105341987,-66.38297872340426
1470,北海道 上川総合振興局 音威子府村,1,1093,333,NA,365,79,8,-66.6056724611162,-76.27627627627628
1471,北海道 上川総合振興局 中川町,1,1829,449,NA,805,148,12,-55.98687807545106,-67.03786191536749
1472,北海道 上川総合振興局 幌加内町,1,1895,438,NA,681,107,NA,-64.06332453825858,-75.57077625570776
1481,北海道 留萌振興局 増毛町,1,3895,803,NA,1776,275,NA,-54.40308087291399,-65.75342465753424
1482,北海道 留萌振興局 小平町,1,3130,664,NA,1431,227,1,-54.281150159744406,-65.8132530120482
1483,北海道 留萌振興局 苫前町,1,3198,666,NA,1428,235,1,-55.34709193245779,-64.71471471471472
1484,北海道 留萌振興局 羽幌町,1,6430,1578,NA,3163,486,1,-50.80870917573872,-69.20152091254752
1485,北海道 留萌振興局 初山別村,1,1174,264,NA,518,91,NA,-55.877342419080065,-65.53030303030303
1486,北海道 留萌振興局 遠別町,1,2657,622,NA,1222,180,NA,-54.00828001505458,-71.06109324758843
1487,北海道 留萌振興局 天塩町,1,3260,950,NA,1478,258,6,-54.66257668711656,-72.84210526315789
1511,北海道 宗谷総合振興局 猿払村,1,1703,480,NA,1285,320,6,-24.54492072812684,-33.333333333333336
1512,北海道 宗谷総合振興局 浜頓別町,1,3210,998,NA,1675,317,12,-47.81931464174455,-68.23647294589179
1513,北海道 宗谷総合振興局 中頓別町,1,2066,511,NA,818,137,NA,-60.40658276863504,-73.18982387475539
1514,北海道 宗谷総合振興局 枝幸町,1,6758,1833,NA,3600,668,NA,-46.72980171648417,-63.557010365521
1516,北海道 宗谷総合振興局 豊富町,1,3338,986,6,2098,419,95,-37.14799281006591,-57.505070993914806
1517,北海道 宗谷総合振興局 礼文町,1,3016,793,NA,1284,230,NA,-57.42705570291777,-70.99621689785624
