id_muni2020,name_muni2020,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_age20_39
1517,北海道 宗谷総合振興局 礼文町,2974,822,NA,1225,206,NA,-74.93917274939173
1518,北海道 宗谷総合振興局 利尻町,2981,805,NA,1010,139,NA,-82.73291925465838
1519,北海道 宗谷総合振興局 利尻富士町,3071,735,NA,1270,168,NA,-77.14285714285715
1520,北海道 宗谷総合振興局 幌延町,2055,650,NA,1081,189,NA,-70.92307692307692
1543,北海道 オホーツク総合振興局 美幌町,13107,4018,NA,9634,1425,1,-64.5345943255351
1544,北海道 オホーツク総合振興局 津別町,4945,1272,NA,2277,226,45,-82.23270440251572
1545,北海道 オホーツク総合振興局 斜里町,8010,2443,NA,5746,979,2,-59.92632009823987
1546,北海道 オホーツク総合振興局 清里町,3456,870,NA,2001,249,43,-71.37931034482759
1547,北海道 オホーツク総合振興局 小清水町,4023,1051,NA,2416,327,2,-68.88677450047574
1549,北海道 オホーツク総合振興局 訓子府町,3928,1115,NA,2436,283,NA,-74.61883408071749
1550,北海道 オホーツク総合振興局 置戸町,3252,813,NA,1494,172,NA,-78.84378843788437
1552,北海道 オホーツク総合振興局 佐呂間町,4455,1136,NA,2579,429,NA,-62.23591549295775
1555,北海道 オホーツク総合振興局 遠軽町,15392,4331,NA,9904,1338,225,-69.10644193027015
1559,北海道 オホーツク総合振興局 湧別町,7415,1880,NA,4323,612,NA,-67.44680851063829
1560,北海道 オホーツク総合振興局 滝上町,2905,654,NA,1244,161,NA,-75.38226299694189
1561,北海道 オホーツク総合振興局 興部町,3382,947,NA,1860,325,NA,-65.68109820485745
1562,北海道 オホーツク総合振興局 西興部村,801,182,NA,533,92,NA,-49.45054945054945
1563,北海道 オホーツク総合振興局 雄武町,3603,975,NA,2200,421,NA,-56.82051282051282
1564,北海道 オホーツク総合振興局 大空町,4801,1330,NA,3488,448,NA,-66.31578947368422
1571,北海道 胆振総合振興局 豊浦町,3356,830,NA,2040,274,3,-66.98795180722892
1575,北海道 胆振総合振興局 壮瞥町,2175,595,NA,1458,181,23,-69.5798319327731
1578,北海道 胆振総合振興局 白老町,12097,3666,1,8506,973,12,-73.45881069285325
1581,北海道 胆振総合振興局 厚真町,3414,809,NA,2183,321,4,-60.321384425216316
1584,北海道 胆振総合振興局 洞爺湖町,7682,2184,NA,4533,565,7,-74.13003663003663
1585,北海道 胆振総合振興局 安平町,5577,1550,NA,3708,517,NA,-66.64516129032259
1586,北海道 胆振総合振興局 むかわ町,7284,1993,NA,3872,480,10,-75.91570496738585
1601,北海道 日高振興局 日高町,9466,2684,NA,5567,768,NA,-71.3859910581222
1602,北海道 日高振興局 平取町,4291,1095,NA,2381,306,2,-72.05479452054794
1604,北海道 日高振興局 新冠町,3761,1014,NA,2706,408,4,-59.76331360946745
1607,北海道 日高振興局 浦河町,9870,2819,NA,6099,973,NA,-65.48421426037604
1608,北海道 日高振興局 様似町,4097,1078,NA,2120,261,NA,-75.78849721706864
1609,北海道 日高振興局 えりも町,3774,1070,NA,2144,308,NA,-71.21495327102804
1610,北海道 日高振興局 新ひだか町,16526,4824,NA,11044,1620,30,-66.4179104477612
1631,北海道 十勝総合振興局 音更町,15974,5055,NA,22946,3831,48,-24.213649851632045
1632,北海道 十勝総合振興局 士幌町,3494,973,NA,2957,483,1,-50.35971223021583
1633,北海道 十勝総合振興局 上士幌町,3841,1057,NA,2435,423,1,-59.98107852412489
1634,北海道 十勝総合振興局 鹿追町,3299,976,NA,2694,492,4,-49.590163934426236
